320,12,"[(5, 7), (6, 1), (10, 14), (17, 2), (18, 2), (19, 5), (6, 0), (6, 17), (6, 18), (6, 19), (6, 11), (10, 19)]",7,"[(6, 1), (5, 14), (17, 18), (18, 19), (10, 7), (7, 17), (19, 0)]"
320,13,"[(5, 1), (6, 1), (10, 14), (17, 1), (18, 12), (19, 6), (6, 0), (6, 19), (6, 17), (6, 7), (6, 14), (10, 18), (10, 15)]",7,"[(6, 1), (5, 14), (19, 17), (17, 18), (10, 7), (7, 19), (18, 0)]"
320,12,"[(5, 7), (6, 7), (10, 14), (17, 10), (18, 9), (19, 18), (6, 0), (6, 1), (6, 19), (6, 10), (10, 17), (10, 2)]",7,"[(6, 1), (5, 14), (18, 19), (19, 17), (10, 7), (7, 18), (17, 0)]"
320,12,"[(5, 7), (6, 1), (10, 14), (17, 1), (18, 8), (19, 9), (6, 0), (6, 18), (6, 17), (6, 19), (6, 10), (10, 19)]",7,"[(6, 14), (10, 1), (18, 17), (17, 19), (5, 7), (7, 18), (19, 0)]"
320,12,"[(5, 1), (6, 0), (10, 14), (17, 3), (18, 5), (19, 1), (6, 17), (6, 19), (6, 18), (6, 7), (6, 11), (10, 9)]",7,"[(6, 1), (5, 14), (17, 19), (19, 18), (10, 7), (7, 17), (18, 0)]"
420,12,"[(5, 7), (6, 0), (10, 14), (17, 19), (18, 13), (19, 17), (6, 1), (6, 12), (10, 0), (19, 18), (19, 7), (10, 19)]",7,"[(10, 0), (6, 1), (19, 17), (17, 18), (5, 7), (7, 19), (18, 14)]"
320,12,"[(5, 7), (6, 1), (10, 14), (17, 14), (18, 6), (19, 2), (6, 0), (6, 18), (6, 19), (6, 10), (10, 17), (10, 5)]",7,"[(6, 1), (5, 14), (18, 19), (19, 17), (10, 7), (7, 18), (17, 0)]"
320,10,"[(5, 1), (6, 1), (10, 14), (17, 18), (18, 7), (19, 16), (6, 0), (6, 19), (6, 12), (10, 5)]",7,"[(6, 1), (5, 14), (18, 17), (17, 19), (10, 7), (7, 18), (19, 0)]"
320,11,"[(5, 7), (6, 0), (10, 14), (17, 18), (18, 14), (19, 5), (6, 1), (6, 19), (6, 12), (10, 17), (10, 0)]",7,"[(6, 14), (10, 1), (18, 17), (17, 19), (5, 7), (7, 18), (19, 0)]"
320,11,"[(5, 1), (6, 7), (10, 14), (17, 18), (18, 4), (19, 8), (6, 0), (6, 19), (6, 17), (6, 11), (10, 17)]",7,"[(6, 1), (5, 14), (19, 18), (18, 17), (10, 7), (7, 19), (17, 0)]"
320,11,"[(5, 1), (6, 0), (10, 14), (17, 5), (18, 6), (19, 18), (6, 19), (6, 17), (6, 7), (6, 14), (10, 9)]",7,"[(6, 1), (5, 14), (18, 19), (19, 17), (10, 7), (7, 18), (17, 0)]"
320,11,"[(5, 1), (6, 1), (10, 14), (17, 18), (18, 2), (19, 3), (6, 0), (6, 19), (6, 17), (6, 11), (10, 16)]",7,"[(6, 1), (5, 14), (19, 18), (18, 17), (10, 7), (7, 19), (17, 0)]"
320,11,"[(5, 1), (6, 0), (10, 14), (17, 10), (18, 15), (19, 1), (6, 19), (6, 7), (6, 11), (10, 18), (10, 5)]",7,"[(6, 1), (5, 14), (19, 17), (17, 18), (10, 7), (7, 19), (18, 0)]"
320,11,"[(5, 1), (6, 0), (10, 14), (17, 11), (18, 19), (19, 12), (6, 7), (6, 16), (10, 18), (10, 17), (10, 3)]",7,"[(10, 0), (6, 1), (19, 18), (18, 17), (5, 7), (7, 19), (17, 14)]"
320,11,"[(5, 7), (6, 0), (10, 14), (17, 14), (18, 9), (19, 13), (6, 1), (6, 18), (6, 10), (10, 19), (10, 0)]",7,"[(6, 14), (10, 1), (18, 17), (17, 19), (5, 7), (7, 18), (19, 0)]"
320,12,"[(5, 1), (6, 0), (10, 14), (17, 12), (18, 10), (19, 1), (6, 19), (6, 7), (6, 18), (10, 18), (10, 17), (10, 7)]",7,"[(10, 0), (6, 1), (18, 17), (17, 19), (5, 7), (7, 18), (19, 14)]"
320,12,"[(5, 7), (6, 7), (10, 14), (17, 3), (18, 11), (19, 1), (6, 0), (6, 17), (6, 19), (6, 10), (10, 18), (10, 3)]",7,"[(6, 14), (10, 1), (17, 19), (19, 18), (5, 7), (7, 17), (18, 0)]"
320,11,"[(5, 7), (6, 0), (10, 14), (17, 18), (18, 0), (19, 12), (6, 1), (6, 17), (6, 14), (10, 19), (10, 13)]",7,"[(6, 1), (5, 14), (18, 17), (17, 19), (10, 7), (7, 18), (19, 0)]"
320,12,"[(5, 1), (6, 7), (10, 14), (17, 9), (18, 4), (19, 5), (6, 0), (6, 17), (6, 19), (6, 18), (6, 11), (10, 18)]",7,"[(6, 1), (5, 14), (17, 19), (19, 18), (10, 7), (7, 17), (18, 0)]"
320,12,"[(5, 7), (6, 7), (10, 14), (17, 2), (18, 9), (19, 0), (6, 19), (6, 1), (6, 18), (6, 17), (6, 10), (10, 19)]",7,"[(6, 14), (10, 1), (19, 18), (18, 17), (5, 7), (7, 19), (17, 0)]"
320,12,"[(5, 7), (6, 7), (10, 14), (17, 1), (18, 12), (19, 12), (6, 0), (6, 17), (6, 12), (10, 18), (10, 19), (10, 1)]",7,"[(10, 0), (6, 1), (18, 19), (19, 17), (5, 7), (7, 18), (17, 14)]"
320,13,"[(5, 7), (6, 7), (10, 14), (17, 14), (18, 5), (19, 9), (6, 0), (6, 1), (6, 19), (6, 18), (6, 16), (10, 17), (10, 0)]",7,"[(6, 14), (10, 1), (19, 17), (17, 18), (5, 7), (7, 19), (18, 0)]"
